source,target,type
PROD-001,SVC-001,HAS_SERVICE
PROD-001,SVC-002,HAS_SERVICE
PROD-001,SVC-003,HAS_SERVICE
PROD-001,SVC-004,HAS_SERVICE
PROD-001,SVC-005,HAS_SERVICE
PROD-001,SVC-006,HAS_SERVICE
PROD-001,SVC-007,HAS_SERVICE
PROD-001,SVC-008,HAS_SERVICE
SVC-001,INFRA-001,RUNS_ON
SVC-002,INFRA-002,RUNS_ON
SVC-003,INFRA-002,RUNS_ON
SVC-004,INFRA-003,RUNS_ON
SVC-005,INFRA-002,RUNS_ON
SVC-006,INFRA-002,RUNS_ON
SVC-007,INFRA-002,RUNS_ON
SVC-008,INFRA-002,RUNS_ON
SVC-004,SVC-007,DEPENDS_ON
SVC-004,INFRA-003,DEPENDS_ON
SVC-005,SVC-002,DEPENDS_ON
SVC-005,SVC-004,DEPENDS_ON
SVC-008,SVC-002,DEPENDS_ON
SVC-008,SVC-003,DEPENDS_ON
SVC-001,SVC-002,DEPENDS_ON
PROD-001,SPO-001,BELONGS_TO_SPO
PROD-001,SPO-002,BELONGS_TO_SPO
PROD-001,RN-001,HAS_RELEASE_NOTE
PROD-001,RN-002,HAS_RELEASE_NOTE
SVC-005,UG-001,DOCUMENTED_IN
SVC-006,UG-002,DOCUMENTED_IN
SVC-002,UG-003,DOCUMENTED_IN
SVC-001,KI-001,HAS_KNOWN_ISSUE
SVC-004,KI-002,HAS_KNOWN_ISSUE
SVC-003,KI-003,HAS_KNOWN_ISSUE
SVC-001,RB-001,HAS_RUNBOOK
SVC-002,RB-002,HAS_RUNBOOK
PROD-001,SOP-001,HAS_SOP
CUST-001,INC-001,REPORTED_INCIDENT
CUST-002,INC-001,REPORTED_INCIDENT
CUST-001,INC-002,REPORTED_INCIDENT
INC-001,SVC-001,IMPACTED_BY
INC-002,SVC-002,IMPACTED_BY
INC-001,RB-001,RESOLVED_BY
INC-002,RB-002,RESOLVED_BY
INC-001,EXP-001,ASSIGNED_TO
INC-002,EXP-002,ASSIGNED_TO
TEAM-001,SVC-001,OWNS
TEAM-002,SVC-002,OWNS
TEAM-002,SVC-003,OWNS
TEAM-002,SVC-004,OWNS
TEAM-001,EXP-001,ASSIGNED_TO
TEAM-002,EXP-002,ASSIGNED_TO
TEAM-002,EXP-003,ASSIGNED_TO
CUST-001,SPO-001,SUBSCRIBES_TO
CUST-002,SPO-001,SUBSCRIBES_TO
CUST-003,SPO-002,SUBSCRIBES_TO
SVC-001,CFG-001,CONFIGURED_BY
SVC-004,CFG-002,CONFIGURED_BY
KI-001,RN-001,FIXED_IN
KI-002,CFG-002,WORKAROUND_IN
KI-003,CFG-001,WORKAROUND_IN
SVC-005,FAQ-001,HAS_FAQ
SVC-003,FAQ-002,HAS_FAQ
SVC-004,FAQ-003,HAS_FAQ
SVC-003,FEAT-001,HAS_FEATURE
SVC-002,FEAT-002,HAS_FEATURE
SOP-001,TEAM-001,ESCALATES_TO
SOP-001,TEAM-002,ESCALATES_TO
KI-001,INC-001,RELATED_TO
RB-001,CFG-001,RELATED_TO
RB-002,UG-003,RELATED_TO
PROD-001,SVC-009,HAS_SERVICE
SVC-009,INFRA-002,RUNS_ON
SVC-009,SVC-006,DEPENDS_ON
SVC-009,SVC-002,DEPENDS_ON
SVC-009,CFG-003,CONFIGURED_BY
SVC-009,UG-004,DOCUMENTED_IN
SVC-009,KI-004,HAS_KNOWN_ISSUE
SVC-009,FAQ-004,HAS_FAQ
TEAM-003,SVC-009,OWNS
TEAM-003,EXP-004,ASSIGNED_TO
SPO-001,SVC-009,HAS_SERVICE
